Time,MMA103,MMA108,MMA122,MMA125,MMA183,MMA191,MMA200,MMA201,MMA271,MMA273,R108,R173,R431
1,1.4453007,1.0455298,1.8050484,1.386639,1.0883364,3.2912953,2.3791395,2.6027306,1.2102324,2.682456,5.033031,2.964787,2.7653703
2,2.6059775,1.4977378,1.133273,1.5685059,1.2055447,2.275559,2.1708757,1.6989634,1.2491647,2.115422,7.20466,1.5140742,2.3716893
3,3.2625006,1.7305056,1.5571179,1.8583538,1.4806161,1.1599551,2.1832795,0.88083296,1.4572439,1.7846522,7.115957,1.833272,1.9657528
4,2.9245544,2.3037245,3.0848252,1.9556467,1.7163073,0.3461449,2.6714595,1.64448,1.7543145,1.8804414,4.304833,2.7028622,1.4941907
5,2.4248584,2.0405447,3.0734997,1.5956366,1.8642074,1.5205051,3.1227516,2.5348039,2.0964784,1.5488067,3.641763,1.9555139,1.649282
6,3.0010018,1.4222103,1.2046966,1.2560086,2.5966985,2.080782,2.0879852,2.9108999,2.5041957,2.2602001,6.46513,3.7482965,2.7804112
7,3.6094726,4.13936,2.5728494,1.7554562,3.8458083,2.0551836,1.479744,1.9899139,2.5718026,3.2409366,7.260555,4.7224345,2.8511532
8,2.8741718,2.7920772,1.6101924,2.8040109,3.1424868,3.7598186,1.2076917,1.7599706,1.6258615,3.1611097,6.018483,1.715398,3.5750788
9,2.1819261,11.148387,10.032131,4.7451346,5.4496202,3.4275894,2.6682895,6.325316,1.7683547,10.762417,4.967134,13.25739,10.117426
10,2.8630976,21.779511,18.486512,7.2523086,12.9119,5.6123382,6.1816811,11.701203,3.151945,17.74151,5.691835,24.452367,16.242741
11,6.754519,23.028839,18.600097,17.144043,17.236319,11.830418,7.2569626,15.534671,4.2426539,17.078134,6.698714,27.04824,17.650144
12,22.253265,14.881492,11.104129,36.451002,16.309811,11.373778,20.212583,16.541067,7.1963236,9.6835887,6.45895,21.184445,16.493453
13,41.107654,7.4126301,4.9872127,54.879861,13.390542,15.517616,30.514388,15.788103,9.8850921,2.5330906,4.865004,15.136953,18.143605
14,49.915229,6.1833952,3.6669407,57.818621,10.924031,28.042313,17.955703,15.126003,10.359855,5.5566044,3.322903,15.186071,20.77555
15,39.376364,7.9469164,4.91359,38.261155,9.308099,37.110566,15.767665,13.292143,9.5753345,6.1534809,3.605621,19.821075,21.680131
16,13.939824,10.846453,6.5853688,7.9635784,8.1970282,37.873166,42.12657,9.2867791,9.3088732,2.5700514,4.315979,25.127384,21.133879
17,19.456128,12.306877,5.7150363,25.287257,6.1678506,25.594699,35.188625,7.8121352,10.074975,3.1680807,4.144791,27.400488,19.277648
18,32.313132,12.728665,4.6025725,34.241215,4.5326026,6.6599185,5.8717918,11.672805,10.99801,2.7094084,4.145426,26.068106,16.360575
19,24.889574,12.341954,4.4198817,24.894941,4.8599645,13.280849,24.411448,14.967312,11.039625,3.2923594,5.665055,22.826209,13.486374
20,7.1385299,11.018681,4.6452476,9.5586565,5.3684386,22.160136,19.512479,16.177443,10.149697,6.3395465,6.315744,18.977358,11.46309
21,8.0082494,9.1402336,5.7332798,6.1967841,5.01889,16.794505,3.0161579,16.311701,9.1033607,11.313468,4.695466,14.59277,10.050997
22,9.8850894,7.1189386,6.3504763,12.381035,4.4575492,11.551962,13.694401,16.008997,8.520674,19.099223,3.048288,10.01874,8.7896189
23,6.3799346,5.2895813,5.4883649,18.892679,4.6842648,4.6193893,14.486809,15.264294,8.361378,22.428782,4.333538,8.9989222,7.7156284
24,7.3138705,4.2146287,3.6058477,21.26776,6.099385,15.410187,13.443123,14.039787,8.3327823,17.547059,4.971425,12.684911,6.9709187
25,11.304843,4.7535349,2.091711,17.921774,7.8573733,21.277781,5.1551289,12.357978,8.2652047,5.7119868,3.942833,16.107694,6.7402059
26,16.206952,6.6609367,2.1016386,10.409813,8.5800749,6.4678371,5.231488,10.507352,8.0833357,7.2253319,4.022427,17.666056,6.8663582
27,14.861725,8.4690416,3.4399116,8.0177557,7.4312206,13.700729,6.8166912,8.9100211,7.7043125,13.188628,5.939903,17.684452,6.8894302
28,6.7208507,9.0781251,4.978644,14.355914,5.2628205,16.234913,5.2358975,7.5823679,7.1786556,10.722842,5.876126,16.510819,6.7130085
29,7.6883009,8.3308114,5.5927131,11.070756,5.9787259,7.5554963,8.8267438,6.2375859,6.7421243,6.9772754,3.610852,14.589703,6.5700453
30,8.2299321,6.7532336,5.3175616,7.0438478,8.0540188,8.9579573,9.8526546,4.904784,6.5302703,4.9748311,4.532156,12.619747,6.6662193
31,3.2313057,5.2080007,5.1996778,14.020969,7.4608128,10.187906,4.205948,4.1671416,6.3951556,4.6068181,6.551922,11.132216,6.9726326
32,2.2075139,4.4655441,6.125902,11.73361,5.5337565,3.6587352,6.4576405,4.369638,6.1314797,4.4276957,5.975351,10.32395,7.3537675
33,3.2510204,4.5639309,6.9834307,5.4971421,6.9148064,6.4195618,7.095294,4.7749796,5.7576762,1.0066759,4.682043,10.144097,7.5925372
