Time,MMA103,MMA108,MMA122,MMA125,MMA183,MMA191,MMA200,MMA201,MMA271,MMA273,R108,R173,R431
1,0.17704527,-0.023498812,1.6399803,1.2617969,0.53899915,2.1928338,0.50443324,0.81309353,0.72816482,-0.21345093,2.259646,1.0080114,-0.56370235
2,1.7018467,0.51076889,1.0100933,1.3218313,1.0861939,1.0135719,1.4641035,0.40872875,0.72712077,0.314248,2.601554,0.043021564,-0.9753505
3,2.5447704,1.2655205,0.98963953,1.3365059,1.4080676,0.37854159,1.4686297,0.75612357,1.0131819,0.87915774,2.809894,-1.1560442,-1.2696734
4,2.3032386,2.1195804,1.6240646,1.20835,1.4447418,0.28696669,0.61824601,1.5175783,1.4554744,1.3589755,2.605177,-1.8105324,-1.2196463
5,1.3760543,1.8343904,1.8261854,0.69834749,0.97049609,0.45008154,0.1067297,1.7250024,1.6637009,1.2042907,1.850669,-1.4336579,-0.65551187
6,0.79530797,-0.18456982,0.73335955,-0.094671655,0.12256339,0.75460956,0.56987293,0.77175708,1.5491494,0.19754634,0.573396,-0.49333524,0.17184746
7,1.2914723,-1.8066198,-0.61627498,-0.36873683,-0.12635864,1.4189311,1.2445813,-0.47117552,1.2672986,-0.46724508,-1.032603,-0.12454164,0.25903161
8,2.1727364,0.6743182,0.2089573,0.77421661,1.4762694,2.0741611,0.87187891,0.27017961,0.89346182,1.3458471,-2.611269,-1.2310181,-1.6574586
9,1.6548655,7.6674542,4.0672861,3.0991005,4.6431743,1.5266428,-0.26194201,4.3431412,0.63689986,5.947092,-3.725263,-3.451555,-5.5287839
10,-0.54516085,13.884608,8.4147898,4.9848007,6.7025566,-0.18391842,0.45295706,9.6186498,1.1412097,10.066572,-3.940019,-5.123713,-9.1274449
11,-1.203253,13.40488,9.7037611,4.7337827,4.9658879,-0.012145846,5.467959,11.332411,2.8851577,9.7434997,-3.07235,-4.6593596,-9.7765722
12,3.7854055,6.7109348,7.4278645,1.9132925,0.20835903,4.955865,12.866982,6.5017496,5.3030237,5.0482549,-1.322855,-2.053878,-7.1807722
13,13.799454,0.033081866,4.4261758,-2.4528669,-3.5768684,11.881678,15.732033,-2.6978434,7.0988674,0.079140243,0.6784009,1.3438422,-3.8155822
14,22.085038,-2.0426637,3.219484,-6.2442757,-3.5029436,13.801033,8.2432582,-10.50951,7.5544433,-1.8660522,2.060225,4.2507186,-2.3677104
15,21.322594,-0.58343199,3.6042102,-7.171381,-0.775539,9.1658713,-6.4258528,-12.420025,7.1522556,-1.1874372,2.148219,6.2464988,-3.3673925
16,10.210499,0.91799819,4.0649763,-4.9245235,1.2677212,4.4825708,-16.247474,-8.3340831,6.8239154,0.089747877,0.8557464,7.3967514,-5.24818
17,-5.2197472,0.91058903,3.9540393,-2.284573,1.0681953,3.4046613,-11.861565,-1.6681472,6.8974819,1.1076657,-1.137044,7.8959516,-6.1034205
18,-15.691666,0.082978396,3.6167363,-2.1655988,-0.24082025,0.19866426,1.8803541,3.906156,6.9816436,1.7668503,-2.750414,7.9708154,-5.075452
19,-15.11876,-0.76228433,3.4050797,-3.6035091,-1.1463655,-8.9181018,10.218396,6.8704159,6.7064677,0.8389761,-3.115562,8.0165211,-2.5859204
20,-5.4407533,-1.6304658,3.3276664,-3.0020769,-1.4783771,-15.633903,6.0019688,7.8312338,6.2188734,-3.4175323,-2.064576,8.2442521,0.2880243
21,4.7397642,-2.6050522,3.2833952,0.59792023,-1.6742807,-11.156733,-2.0551612,7.9598255,5.8585161,-10.04299,-0.2864828,8.5254901,2.5805057
22,7.8812561,-3.3150488,3.1223231,4.1331719,-1.576381,-1.8961032,-2.2013449,7.8177869,5.6761819,-14.369643,1.100158,8.5086898,3.9991937
23,4.2896576,-3.4700055,2.5858453,4.5788732,-0.68935038,-1.2082936,4.4266455,7.3838944,5.5205953,-12.446381,1.238504,8.1661065,4.8180802
24,0.63948001,-3.47499,1.5427164,2.0755582,0.91931005,-8.9590664,7.1708718,6.5779782,5.3713899,-6.1397962,0.05207991,8.0465416,5.3810067
25,1.8568393,-4.0371305,0.3241594,-0.62471485,2.5889969,-12.090222,1.9616375,5.4763988,5.2924023,-1.2738705,-1.684044,8.7063897,5.8234821
26,5.7620905,-5.1928192,-0.39260029,-0.15369241,3.6488119,-4.8671018,-4.2552682,4.2410986,5.1865883,-0.47523179,-2.846015,9.9395413,6.0596365
27,6.867354,-6.1141335,-0.15301059,4.2627098,3.5470245,3.794863,-5.3475513,3.0494827,4.8956198,-0.82079884,-2.642508,10.784468,6.0249354
28,3.9333056,-6.0367449,0.8421372,8.2643615,1.7935312,5.4788478,-3.9068898,2.0398448,4.5060343,0.66402528,-1.150332,10.380274,5.8441539
29,0.71858273,-5.0919453,1.8577732,6.3054282,-1.2964599,3.5680967,-4.1453886,1.257397,4.2755113,2.4909286,0.6516383,8.7008268,5.7277608
30,-0.21805996,-4.0291215,2.1707162,-0.46459588,-3.8406723,4.3002492,-4.1236902,0.67519108,4.2197801,1.6758455,1.397135,6.3529331,5.8089175
31,-0.46054211,-3.3903111,1.6087005,-4.6287921,-3.6468487,5.554276,-0.5736487,0.24536261,4.0379268,-1.1372292,0.4122598,3.9582693,5.9937482
32,-1.6768204,-3.1925624,0.67394937,-2.726747,-0.79049979,2.0737156,3.7212856,-0.096079444,3.5637262,-2.3624879,-1.651603,1.9757688,6.1697952
33,-2.5336929,-3.1969419,0.1382665,-0.08289438,2.1905483,-3.9045663,3.9829646,-0.39334101,3.0737419,-0.62959636,-3.204154,0.72842312,6.2476843
34,-1.6321221,-3.2193305,0.41693461,-2.2730846,3.2649966,-5.696506,1.807488,-0.59848143,2.9556022,1.5408043,-2.960482,0.33089825,6.2157307
35,-0.37878763,-3.2273261,1.2362761,-6.4757646,2.8439171,-3.2596145,2.6112926,-0.64614709,3.1926141,1.8113438,-1.050896,0.46617566,6.101819
36,-0.37949904,-3.257184,1.9086511,-6.2331704,2.233087,-2.8997888,6.0421892,-0.61633528,3.3848045,1.1596159,1.088329,0.54052614,5.9357577
37,-0.31446053,-3.2627812,1.9905299,-1.7101203,1.6614108,-6.0030806,6.059538,-0.65794583,3.2253259,1.3461697,1.787745,0.17031248,5.7303324
