Time,MMA103,MMA108,MMA122,MMA125,MMA183,MMA191,MMA200,MMA201,MMA271,MMA273,R108,R173,R431
1,1.0177452,-0.6031446,0.065765445,-0.16595151,0.53354894,1.9155531,1.9860958,0.70679182,0.8511149,1.8874533,0.1486274,1.1902675,0.50563421
2,1.5370775,-0.28660242,-0.079230417,0.30970265,0.37351344,1.8312396,1.3114029,0.55063329,0.73160453,1.5724278,-0.9931455,1.0924682,0.38321365
3,1.6585027,0.24046852,0.94855291,0.86083273,0.43075236,1.0844709,0.94516423,0.27280443,0.67144506,1.3229094,-1.898049,1.2186436,0.32551674
4,1.3899407,0.89824584,2.4313475,1.27459,0.91609411,-0.16524331,1.0785482,0.58390449,0.77645007,1.1907306,-2.239903,1.4614099,0.60374226
5,1.2101822,0.84594021,2.2720028,1.2814666,1.4414037,-1.0518933,1.415931,1.0155093,1.2304049,0.40934811,-1.852919,1.268175,1.4900188
6,1.4217875,-0.25965463,-0.22800555,0.95967494,1.399323,-0.63097536,1.314056,0.77150682,1.914119,-1.2051891,-1.049713,0.3939734,2.7014516
7,1.6229075,-0.88224992,-2.2492865,1.0739788,0.64319943,1.1955687,0.52354196,0.45617396,2.0283158,-1.587111,-0.5735274,-0.24880445,2.8037002
8,1.0782973,1.4491635,0.69277297,2.3209955,-0.094476809,2.5986634,0.052391686,1.6748836,0.69733572,2.0598369,-1.035462,0.98449651,-0.11820928
9,-0.037270133,6.6966179,9.011676,3.5802687,0.27837546,0.60715426,1.4356479,4.4382978,-1.5897962,8.8421057,-2.391903,4.6228315,-6.1703024
10,0.55206993,10.854196,16.400566,1.4418603,2.0684493,-5.5815616,4.1632372,6.1527236,-2.68415,13.193078,-4.030506,9.004870499999999,-12.332017
11,6.5065294,9.8495625,15.865543,-7.0784073,4.3553215,-11.661357,4.6044649,4.4099716,-0.9261199,10.985484,-5.193726,11.65867,-14.694766
12,19.149571,4.5775117,8.1709125,-20.322067,5.983063,-10.100213,-0.067802676,0.22140362,2.669175,5.2557202,-5.317121,11.89679,-12.421631
13,33.585482,0.026126393,1.0866525,-30.905788,6.6580972,2.9150623,-6.3364145,-2.7552513,5.4065523,2.4077983,-4.304969,11.388028,-8.4752727
