Time,MMA103,MMA108,MMA122,MMA125,MMA183,MMA191,MMA200,MMA201,MMA271,MMA273,R108,R173,R431
1,38.460053,149.89442,173.09246,22.322524,135.65781,217.45056,55.907365,199.60372,81.687419,95.468434,561.991,192.88279,141.76544
2,46.98999,122.98044,124.73797,15.500484,124.4903,181.39896,35.344468,123.24704,70.538274,84.662324,519.0702,111.21383,123.30208
3,76.757303,53.19022,65.508201,14.14452,89.330108,114.58615,51.858847,52.329464,45.729993,50.793856,401.3643,183.27986,98.8424
4,86.992366,155.57756,154.53679,57.607126,78.523591,69.123242,146.56172,125.88865,63.063919,38.394026,206.2486,289.43096,57.606272
5,88.281169,161.17847,122.7641,75.696102,82.98694,233.52934,166.38085,53.949182,79.63529,102.43185,26.28031,42.258114,104.76803
6,153.56918,162.57167,161.06929,70.936062,106.08831,238.13532,67.126828,136.09262,150.56905,211.30532,65.6695,483.39497,254.15922
7,156.7496,434.31025,343.94555,205.04392,243.50142,363.39462,223.63944,207.84455,287.96653,302.71814,63.04663,642.40974,223.4859
8,117.3738,82.236686,41.833267,189.19269,64.102403,538.99221,187.3296,138.44912,48.250506,261.18402,23.47083,239.76485,210.43139
9,309.89798,1052.2698,870.34087,432.04496,602.68102,925.98666,287.41653,551.79251,754.42394,1026.3239,8.850616,2060.9881,963.01387
10,497.62949,2130.1215,1665.1155,1215.0917,1174.2544,2634.0289,532.84534,1016.7457,1448.2845,1804.6093,10.38382,3674.0349,1554.6151
11,705.5224,2167.6828,1595.7364,2108.8233,1094.3748,3871.7359,497.60737,1267.7458,1386.6755,1849.2455,15.00125,3818.7926,1477.8984
12,1293.3081,1195.6597,740.36925,2860.9861,599.07745,2909.075,2541.1367,1449.8705,640.21322,1090.0738,20.45034,2410.7121,760.99172
13,2213.0605,312.38047,244.26238,3113.4899,728.79823,1648.1013,3903.3091,1628.4006,435.19036,99.107521,20.15782,609.32804,453.07189
14,2764.0689,284.22139,365.6615,2395.7586,647.26304,4238.7271,2422.803,1584.0169,626.27876,712.52161,18.0179,520.15033,916.83535
15,2185.591,328.73879,347.06411,857.15586,184.57391,5618.9957,2033.5491,1242.9307,462.66685,689.51191,16.06572,669.25391,1080.6937
16,1086.6581,490.85675,396.64443,2094.53,193.28057,5446.0259,4971.5538,710.50759,311.82293,143.64761,12.31834,532.00112,1121.681
17,2865.2657,421.24251,191.72915,3394.9316,218.64006,4111.5426,4067.897,291.05069,340.61008,550.50374,7.563709,647.35577,1187.9336
