Time,MMA103,MMA108,MMA122,MMA125,MMA183,MMA191,MMA200,MMA201,MMA271,MMA273,R108,R173,R431
1,16.310455,86.094652,115.07992,4.5208578,85.542341,-97.247189,-6.9886988,-46.699788,52.439055,-67.240986,274.78,94.85,134.12
2,10.26372,76.3246,67.141681,1.1797558,81.46453,-97.172883,1.1772116,-21.473409,40.386292,-61.344596,248.75,11.64,110.3
3,1.3154054,46.038068,-39.170443,3.4067055,61.990473,-68.109507,5.393562,24.040196,28.833876,-40.619143,181.53,-178.49,56.78
4,19.066112,-3.5055858,-100.02778,41.790072,7.8854546,61.92532,-36.63192,26.339445,54.764874,17.808636,85.67,-266.26,-8.03
5,61.110786,-25.879903,-28.280144,66.88922,-42.001778,160.43369,-81.204273,2.2365029,32.399011,92.382761,7.85,-20.6,-83.9
6,72.638677,1.0075005,133.36018,-10.807514,-43.942773,9.2387062,-40.928405,3.6063154,-123.64405,105.56294,-26.53,461.07,-157.88
7,-2.3746461,26.569341,203.99713,-161.65419,-12.343342,-318.48954,82.287645,-5.2770933,-251.05978,-28.163227,-23.43,605.63,-127.87
8,-109.77204,-20.690212,-1.5144938,-162.97602,-7.340514,-251.73997,102.11636,-110.01007,3.6669361,-252.29327,-6.78,-235.09,137.64
9,-83.87582,-118.92444,-425.64285,207.02504,-35.901629,770.98718,-129.98154,-253.6267,699.33058,-300.11044,5.13,-1975.3,598.35
10,127.55774,-139.70575,-709.82001,903.13405,-2.3808193,2429.9094,-294.44796,-205.27761,1313.7109,41.966806,8.35,-3521.29,950.05
11,243.81173,-1.8486969,-546.53577,1651.858,174.47122,3436.7354,328.89755,174.1199,1236.1287,537.90845,7.25,-3671.44,857.42
12,-156.66247,184.62952,-83.874867,2205.8839,401.42695,2649.172,1881.2232,713.56939,504.74195,610.76007,6.39,-2338.02,303.8
13,-1082.7179,209.12527,199.05136,2352.4077,469.815,214.13266,3079.3059,1080.7672,-234.10422,47.49757,7.36,-609.02,-376.29
14,-1839.1917,13.617495,50.225067,1757.3538,315.33597,-2595.2621,2164.2464,1094.2439,-485.95288,-606.9306,9.48,410.94,-832.51
15,-1448.7396,-217.89691,-278.86148,230.92756,119.77026,-4517.1902,-830.79338,827.84906,-351.97347,-637.00398,10.53,551.58,-994.63
16,438.2205,-266.78254,-363.35123,-1704.0737,82.808446,-4983.2936,-3452.3341,478.8427,-213.20404,-25.352401,7.74,393.36,-1027.96
17,2849.3603,-126.35665,-89.958921,-2857.6902,174.6985,-3943.4411,-3266.6281,200.77065,-246.91036,549.79389,1.1,481.78,-1081.93
18,3909.0205,10.284297,259.19021,-2329.5441,214.24733,-1707.1064,-576.61829,31.221596,-353.53502,561.84165,-4.2,883.44,-1141.37
19,2555.1216,-21.299908,341.58531,-465.32222,147.11596,878.24778,1999.7875,-76.105659,-392.07684,198.49206,-2.0,1342.74,-1100.41
20,-134.31804,-200.83186,91.436748,1264.0376,122.82779,2622.8121,2373.4716,-171.75783,-339.87812,-38.494251,7.34,1657.85,-916.47
21,-1962.5682,-388.56229,-262.67513,1511.3977,270.30239,2779.7942,739.8024,-257.41282,-253.80597,-81.258004,15.92,1850.56,-653.22
22,-1918.8172,-476.28774,-433.84291,278.18339,493.18524,1604.1912,-1215.8626,-300.04191,-178.73719,-356.98876,15.79,2043.33,-398.08
23,-784.68233,-445.40444,-309.34428,-1174.1884,557.85436,82.450596,-2038.8621,-287.20573,-123.68038,-1086.9592,5.75,2265.69,-187.24
24,309.84334,-334.50273,-21.339523,-1645.6174,354.38692,-789.53401,-1405.4056,-250.66509,-81.835406,-1824.5658,-8.32,2421.88,-14.77
25,960.67865,-208.05242,170.12277,-1058.5581,28.975813,-541.34154,-25.187026,-229.66419,-43.99283,-1945.9551,-17.48,2413.16,124.09
26,1125.6348,-137.77541,107.92124,-191.11932,-130.36886,555.54571,1003.827,-228.90725,-6.7469696,-1444.9111,-14.81,2231.34,221.13
27,656.29208,-160.48153,-115.2418,300.51271,65.842055,1565.2571,1025.9527,-221.21907,21.151585,-897.34266,-1.39,1932.96,272.63
28,-353.71591,-234.8467,-265.10354,326.8677,530.72176,1503.5438,292.30716,-179.8547,30.025454,-677.83217,12.0,1576.88,290.87
29,-1221.0633,-263.02291,-227.49537,62.473905,929.84692,297.67928,-386.8162,-107.73978,27.550429,-589.89021,13.45,1203.53,297.99
30,-1197.4018,-184.86587,-122.45266,-366.8661,942.40293,-969.80048,-456.20347,-44.271797,34.855794,-333.93805,2.09,837.74,313.47
31,-321.78939,-50.002076,-137.16492,-802.33263,538.60193,-1107.8178,-51.179199,-35.872659,63.83887,27.078247,-11.5,491.01,343.2
32,553.70379,27.201319,-278.74385,-934.81855,-40.408565,-72.407947,305.21837,-87.260014,103.66792,244.16095,-17.52,168.48,376.57
33,662.97977,-13.125177,-346.3496,-516.2469,-552.73581,1049.6373,289.72579,-147.44839,127.58128,266.34177,-14.91,-124.23,398.05
34,49.384634,-117.06704,-176.18222,293.51642,-880.16407,1231.2765,15.681763,-156.27705,113.77581,236.9361,-7.12,-381.65,404.07
35,-658.19433,-171.78786,115.83806,906.30462,-914.24392,428.77922,-206.34009,-105.47875,68.499767,242.08768,2.69,-602.06,404.93
36,-928.56369,-109.27884,206.77287,779.05768,-555.59087,-607.20294,-215.20935,-46.800812,28.476097,254.56691,9.37,-788.36,412.26
37,-658.57159,33.494991,-84.180105,-14.062734,68.354498,-1100.791,-102.10661,-36.908784,28.703519,267.32393,6.61,-944.91,429.39
38,-93.05203,147.98988,-558.52345,-756.68984,554.32311,-777.04085,-48.311039,-79.599939,64.844106,311.49687,-4.43,-1074.05,448.22
39,349.59693,153.70054,-788.24669,-748.98841,554.05292,46.971407,-108.21469,-127.21255,96.99245,351.33042,-13.11,-1174.18,450.44
40,323.80634,67.546359,-500.38096,16.574045,118.96601,689.7161,-158.36401,-131.70786,93.29378,304.5128,-11.71,-1235.24,419.78
41,-141.0165,-24.846,154.30701,878.76075,-358.49977,600.40271,-63.740725,-85.254673,61.387372,180.80554,-5.36,-1241.6,358.44
42,-605.66108,-51.365703,663.80504,1137.9472,-515.19424,-144.04162,130.88783,-19.205942,34.061281,88.581207,-4.23,-1196.71,284.76
43,-618.37393,2.4200396,553.27606,610.89535,-298.76171,-850.80721,225.29631,21.918082,32.634497,89.905152,-8.98,-1140.28,212.9
44,-164.3512,103.16512,-140.50548,-294.82927,52.667428,-852.46052,83.118573,10.527752,51.099035,141.11185,-10.12,-1116.21,142.81
45,333.93554,189.07474,-799.78957,-883.40821,245.17548,-164.81357,-210.33738,-42.123749,70.214788,188.56207,-2.85,-1121.47,70.96
46,455.22211,197.43044,-770.66308,-656.40431,165.22544,551.36936,-414.89994,-90.923071,76.112387,235.27549,2.8,-1108.19,2.11
