Time,MMA103,MMA108,MMA122,MMA125,MMA183,MMA191,MMA200,MMA201,MMA271,MMA273,R108,R173,R431
1,30.872086,-37.245271,-99.039653,-20.05375,-96.976876,194.45077,10.585956,25.845463,-62.256414,-41.797232,122.51,167.8,-41.73
2,33.430173,-22.669688,-75.950758,-12.808161,-88.833455,151.1055,18.031099,3.8656946,-57.480214,-44.511375,114.12,110.42,-54.72
3,43.255938,23.327676,-2.6707403,7.6248131,-63.969665,58.667366,29.481622,-31.210694,-34.398761,-30.357413,90.53,-18.42,-79.4
4,60.54306,83.907139,112.38612,29.19853,-19.593296,-27.535378,11.877836,-7.7113902,28.092803,31.999047,49.67,-100.83,-56.81
5,60.457224,46.862267,119.35198,6.8989986,18.218871,-105.52453,-31.739072,38.441449,72.139847,28.191095,11.04,-34.79,51.58
6,22.880036,-139.97352,-75.991373,-70.067873,37.252414,-176.26583,-48.878281,2.5767184,31.714924,-136.69861,-8.27,129.09,190.23
7,-29.39915,-280.81966,-264.30653,-103.08313,48.848513,-128.27356,5.838834,-102.7082,-52.628339,-266.35249,-7.01,193.06,181.37
8,-38.638902,-36.161805,-20.455371,48.400626,54.09757,147.84918,82.037379,-70.883704,-36.49538,49.781901,2.12,-34.47,-152.17
9,-10.340356,634.86645,754.94291,370.39796,19.945832,481.05294,55.349613,285.83459,154.64903,886.29124,7.21,-512.35,-747.35
10,-101.31941,1256.2534,1495.4654,662.21802,-84.629258,440.15036,-105.75851,848.91236,397.37611,1651.045,5.98,-918.51,-1226.76
11,-521.47197,1291.0474,1486.5473,804.89694,-234.64111,-142.29437,-251.06265,1238.762,491.46082,1631.7902,2.85,-921.37,-1203.65
12,-1252.8961,769.51869,720.5378,931.20846,-346.75637,-763.86133,-236.7456,1208.2573,391.19343,846.68597,1.83,-513.88,-689.25
13,-1892.8892,232.01178,-84.546884,1142.7722,-338.66599,-703.10072,-171.36385,896.71821,235.02188,24.027519,3.09,-9.87,-94.64
14,-1924.1254,83.236321,-341.97193,1205.6489,-207.00624,77.20285,-308.26671,616.1218,154.09408,-260.62005,4.39,289.41,191.29
15,-1239.2905,238.51289,-152.31628,822.34508,-49.86656,799.11664,-647.89808,479.92229,142.5273,-106.20447,4.1,350.7,134.02
16,-326.27739,390.61231,36.773473,130.82799,17.14112,757.86195,-835.08649,358.90848,127.59387,59.927485,2.88,343.66,-31.55
17,197.7497,391.75892,8.9028732,-398.26176,-30.681149,46.793381,-609.1038,146.20034,82.437161,27.061991,2.99,422.6,-94.22
18,229.52304,309.34637,-119.39287,-559.31953,-133.86786,-715.91317,-190.34582,-76.333335,32.729817,-105.38108,5.6,614.16,-20.74
