Time (s),rv_z,rv_y,rv_x,la_z,la_y,la_x,la_r,rv_r,ra_x,ra_y,ra_z,ra_r,ID,TestID
-0.039930109258067274,0.3551151098822689,-0.679210438462604,-0.5809221933274828,0.04147448950631599,0.005172786374135874,0.054961979373163355,0.015594804617429014,0.9513395504311584,277.8380350089279,167.66983310804596,-134.71703491876283,179.5423507475943,2024-05-23-r-fm2,-r-
-0.03990510925806725,0.3475705967176801,-0.6682009346497817,-0.5661631526592416,0.033450435651042165,0.014767030702819484,0.04836591809668089,0.022990455790496744,0.931793742325008,440.32570553141966,345.9044724396412,-227.76474970465566,435.56262890385875,2024-05-23-r-fm2,-r-
-0.03985179753963259,0.3307213120745017,-0.6393679669037994,-0.5351553449387506,0.024404895408156962,0.017583920516289653,0.03453787310900583,0.022855492888539164,0.886415875796471,721.0443228439759,651.2534503666383,-387.90661766614073,878.7436262122792,2024-05-23-r-fm2,-r-
-0.039796631975808044,0.30716261211376394,-0.5978235652982765,-0.4923244425392529,0.01571608105367439,0.015821276118500927,0.018608628764952395,0.018341925759395528,0.8224569404043947,917.8244332901905,861.5588583145128,-498.7729371864711,1187.0035326402262,2024-05-23-r-fm2,-r-
-0.039752553548544206,0.2792266955185522,-0.5479600567575061,-0.4416386237741399,0.006701942430215921,0.010377264410488696,0.0076021484881917956,0.010947221078695057,0.7462930707535821,1040.4503340956605,993.3495702046324,-566.4090025286583,1379.1202889189456,2024-05-23-r-fm2,-r-
-0.03969872651062198,0.24890438902359552,-0.49323658396297093,-0.38654513129409485,-0.004213504741878801,0.003022673360437156,0.007362611188337129,0.002614218324846429,0.6632045571842741,1099.8163167844743,1065.9740597693371,-598.2996570708511,1477.6376574711326,2024-05-23-r-fm2,-r-
-0.03965034636503388,0.21777940697416442,-0.4361106264657299,-0.32992271426010034,-0.015825572192376763,-0.004011857841321298,0.017508390564810655,-0.004307663698499109,0.5772644448542134,1107.3049663921622,1097.0470567753373,-601.8053177276531,1504.4250570451647,2024-05-23-r-fm2,-r-
-0.0396000970977535,0.1871065344135275,-0.37827985397059455,-0.27408035681928644,-0.023890795571274173,-0.009186191219617279,0.03125237271558577,-0.00844278268877574,0.49152394373406744,1074.5888943025418,1097.9918791022951,-581.7006125800096,1476.6926138991987,2024-05-23-r-fm2,-r-
-0.03954979481519981,0.15799202287886083,-0.32105941424065776,-0.2207295469942541,-0.025031337250085994,-0.011438596786718769,0.04179934665624224,-0.009394229241338148,0.4083252863301858,1014.0609747054993,1074.3265323983996,-540.1149053390369,1407.3094287979216,2024-05-23-r-fm2,-r-
-0.0395001596665683,0.1314777210423213,-0.265595176415912,-0.17093998151314463,-0.020110450672319022,-0.00949517462787719,0.04746107085839668,-0.006368133657117636,0.3294746487801362,937.9293044110212,1029.874716202226,-479.59016723410133,1307.971030132185,2024-05-23-r-fm2,-r-
-0.03944991858496569,0.10841568331814834,-0.21281991830559271,-0.12520233871756029,-0.013906770637245283,-0.00316387477275637,0.04910831995469486,0.0005653040693195388,0.25624249904901464,855.4393109133688,970.0931505382222,-406.02474551795063,1190.730526488349,2024-05-23-r-fm2,-r-
-0.03940002332740409,0.0892579236532241,-0.16333383704724752,-0.08366177258621628,-0.010472668235870161,0.00488571655900627,0.04621926875125032,0.008375878158253025,0.18941132594894586,770.6220768943065,901.489844593318,-328.099924514776,1065.915666918446,2024-05-23-r-fm2,-r-
-0.03935000510100242,0.07398836802936884,-0.11741890953141884,-0.04640585319253843,-0.009303248836948913,0.01053024487884513,0.038205313088506804,0.012989730014710488,0.1296005055752473,683.2001731302379,828.8740846657033,-253.6689463155227,939.3383344567799,2024-05-23-r-fm2,-r-
-0.03929998752523308,0.06227370618437014,-0.07519440426583533,-0.013607477437601538,-0.007743890658339983,0.012109547169988244,0.026683654351196684,0.013297480187015487,0.07819113780281621,592.2639827546735,753.914810035721,-186.90735043079675,812.684130597183,2024-05-23-r-fm2,-r-
-0.03925000997246253,0.053680310148987664,-0.0367754042130051,0.014554822918519627,-0.0045602329483532406,0.01187222613128458,0.015357078822508322,0.012124123702240586,0.04170160154659977,499.36284278429497,676.0680449250092,-128.921358319516,686.4872129487618,2024-05-23-r-fm2,-r-
-0.039199994802410584,0.04776424751511721,-0.002335575458492993,0.03806308467641839,0.0007849925764805282,0.012429552841168756,0.00879136277568937,0.012523141734964605,0.04262095842179858,408.1828455527909,594.588844473801,-80.35624898520786,562.0427370192489,2024-05-23-r-fm2,-r-
-0.039150001562178544,0.04402736241316568,0.027935504549216207,0.0571073853093889,0.009530123741049001,0.01327672414810388,0.009987518182568184,0.014324295502054385,0.06888447544422714,321.7600892035074,510.1878956892026,-42.5216153111176,441.1715445469982,2024-05-23-r-fm2,-r-
-0.039100000257485876,0.041894763146704365,0.05393523842526823,0.07197337143235906,0.021909235136097896,0.012086940651093059,0.017667486563429688,0.015254586467558506,0.09590918758966946,240.83287666168982,425.39845033801373,-15.998620891316985,325.71542999367415,2024-05-23-r-fm2,-r-
-0.03904999924320349,0.040810177486732976,0.0757273738978583,0.08292495081114758,0.03461160389887383,0.0083057899942236,0.026158739196210506,0.014016227589919605,0.11890926515203683,165.28833261662814,343.437645530109,0.9392981191167014,217.88119801605006,2024-05-23-r-fm2,-r-
-0.03900000062216387,0.04037137012131507,0.0935310272931196,0.09023648252961136,0.04255192481794515,0.004540998699443022,0.029229858435222453,0.011749882695238356,0.13720529955642527,96.82490773530864,266.64497930142835,11.822997759486164,120.56638554663174,2024-05-23-r-fm2,-r-
-0.038949999668633925,0.04037515442538066,0.1076438961428414,0.09434171942026773,0.04381009655909081,0.0038182950952350136,0.02489128972070387,0.010725051870223656,0.1510101045843286,39.36784202914542,196.11022613682022,20.001365327470246,36.61323296937061,2024-05-23-r-fm2,-r-
-0.0389000001040946,0.040754183816761186,0.11839407422164169,0.09590754456811502,0.040533281448728586,0.005704761837871941,0.017115891992135035,0.01128897585815114,0.160873707595732,-3.773157090852701,132.79688231155546,27.259971241699894,-32.28785734477436,2024-05-23-r-fm2,-r-
-0.038850000012210575,0.04148382871224976,0.12617560868883682,0.09569868154677146,0.03563492356230563,0.005960482540563028,0.012562510221083262,0.010419367668536017,0.16748802679253008,-33.32633672375826,78.61851683230043,33.57306267146373,-85.18143435676045,2024-05-23-r-fm2,-r-
